system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,OPEN_QUOT,PERIOD,COMMA,CLOSING_QUOT,TWO_PTS,SEMICOLON,DOLLAR,POUND,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N],Topic-Change[N][N],TotalRST
26338405.Z,6,6,0,6,0,0,0,1,3,126,3,0,21,0,16,2,4,2,0,2,0,2,0,0,0,28,3,1,11,0,0,13,3,1,0,0,0,18,6,22,0,0,0,0,3,1,0,0,1,0,5,0,3,0,4,5,1,11,0,3,0,0,0,6,11,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,16
13840353.Z,5,3,0,4,1,0,0,0,6,105,8,0,15,0,1,2,2,5,3,0,0,0,0,0,0,13,4,0,18,0,0,13,6,0,0,0,1,19,5,9,1,0,1,0,2,4,0,0,2,0,4,0,3,2,3,5,1,3,0,1,0,0,1,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,12
3526088.Z,4,2,0,3,0,1,0,0,2,116,8,2,14,0,9,0,9,0,4,0,0,0,0,0,0,22,4,0,12,0,0,17,6,0,1,0,0,19,5,19,0,0,0,0,4,2,0,0,0,0,6,0,5,0,4,3,0,6,0,2,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,12
9022488.Z,5,5,0,4,0,1,0,0,2,118,3,0,26,0,0,1,1,0,0,1,0,0,0,0,0,3,6,0,18,0,0,11,8,0,0,0,1,21,4,2,0,3,0,3,2,4,0,0,0,0,7,0,5,0,1,3,1,7,0,1,0,0,0,5,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,1,0,1,0,0,0,10
28090980.Z,4,7,0,3,1,0,0,0,2,116,3,0,23,0,20,1,0,0,0,3,0,0,0,0,0,24,7,0,9,0,0,11,4,0,0,0,1,14,4,22,0,0,0,3,5,3,0,0,2,0,4,0,4,0,0,2,2,7,0,1,0,1,0,4,8,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,3,2,0,0,0,0,0,0,14
10582947.Y,4,4,0,2,0,2,0,0,1,109,3,2,42,0,8,1,4,0,3,0,0,0,0,0,0,16,7,1,12,0,0,11,6,0,0,0,1,23,1,11,0,0,0,2,6,2,0,0,0,0,3,0,3,0,0,2,2,6,0,1,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,10
19570233.Y,8,7,0,4,3,1,0,0,3,108,7,0,19,1,9,0,0,5,0,0,0,0,0,0,0,15,3,1,10,0,0,11,2,0,0,0,0,18,7,15,0,0,0,3,2,2,0,0,2,0,2,0,1,2,2,4,2,8,0,1,0,1,0,8,8,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,2,2,0,0,0,0,0,0,15
20478345.Y,3,4,1,2,0,0,0,1,2,122,1,0,32,1,14,5,3,4,0,0,0,0,0,2,0,29,5,3,12,0,0,12,5,0,0,0,0,20,1,24,0,0,3,0,0,0,0,0,1,0,5,0,5,2,1,3,0,7,0,1,1,0,0,2,9,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,0,0,16
34750408.Y,9,5,1,3,3,2,0,0,5,120,4,1,23,2,6,0,2,3,3,1,0,0,0,0,0,17,6,3,12,0,0,10,8,0,1,0,4,20,2,15,0,0,1,2,3,2,0,0,0,0,4,0,7,0,1,2,2,8,0,2,0,0,0,9,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,15
12105437.Y,6,4,0,6,0,0,0,0,4,122,7,0,14,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,15,0,0,12,11,0,0,0,0,24,3,0,0,0,0,6,4,7,0,0,1,0,4,0,4,1,2,3,4,10,0,3,0,1,0,6,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,14
