system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,OPEN_QUOT,PERIOD,COMMA,CLOSING_QUOT,TWO_PTS,SEMICOLON,DOLLAR,POUND,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N],Topic-Change[N][N],TotalRST
22581010_116.txt,5,2,0,5,0,0,0,0,10,116,4,1,9,1,5,0,0,0,0,5,0,0,0,0,0,11,5,3,5,0,0,11,6,0,0,0,5,18,6,8,0,0,2,9,3,3,0,0,0,0,3,0,8,0,2,6,1,11,2,1,0,1,0,5,5,0,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,18
6928503_117.txt,7,3,0,6,0,1,0,0,3,123,2,0,38,1,7,1,0,0,0,0,0,0,0,0,0,9,8,1,11,0,0,12,11,0,1,0,2,16,9,10,1,0,0,2,3,6,1,0,0,0,0,0,5,0,2,6,3,3,0,0,0,1,1,7,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,1,0,0,0,0,0,0,14
1614096_103.txt,5,3,0,3,2,0,0,0,4,112,5,3,12,1,15,0,2,2,0,0,0,0,1,0,0,21,6,1,7,0,0,9,6,1,0,0,0,15,5,17,0,0,2,6,1,9,0,0,0,0,1,0,2,1,0,1,2,9,0,1,0,3,1,5,11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,2,1,1,0,0,0,0,0,16
19555878_108.txt,6,4,0,3,1,2,0,0,2,115,2,2,33,1,3,0,0,1,0,1,0,0,0,0,0,6,5,1,10,0,0,14,4,0,0,0,0,18,3,3,0,0,1,10,4,4,0,0,1,0,6,0,5,2,1,4,1,9,0,0,0,2,0,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,12
35003062_102.txt,5,4,1,2,0,2,0,0,2,109,3,0,16,1,0,1,0,0,0,3,0,0,1,0,0,6,2,2,14,0,0,11,5,0,0,0,1,18,7,2,1,0,0,5,4,2,0,0,2,0,7,0,5,1,2,1,1,6,1,0,0,2,0,5,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,1,0,0,0,0,0,0,15
36033495_108.txt,6,4,0,1,1,3,1,0,1,111,6,3,33,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,17,0,0,15,11,0,0,0,2,23,7,1,0,0,0,3,3,1,0,2,1,0,2,0,2,1,0,2,0,6,0,2,0,0,1,6,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,0,0,0,0,0,0,11
708870_113.txt,5,4,0,3,0,2,0,0,0,125,6,1,26,0,12,1,0,0,0,7,0,0,0,0,0,20,4,1,13,0,0,14,11,0,0,0,0,21,1,13,0,0,3,1,3,2,0,0,0,0,3,0,4,0,6,3,0,9,0,2,0,0,1,5,9,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,3,0,0,0,0,0,0,16
20519199_118.txt,5,3,0,3,2,0,0,0,2,126,4,0,10,0,12,1,1,0,0,0,0,0,0,0,0,14,3,0,10,0,0,14,5,0,0,0,0,20,3,14,0,0,0,6,6,0,0,0,1,0,7,0,6,2,3,3,0,11,1,2,0,1,0,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,13
9042000_106.txt,4,3,0,3,0,1,0,1,3,102,9,0,70,0,3,0,0,0,1,1,0,0,0,0,0,5,5,0,10,0,0,11,9,0,0,0,1,25,2,2,0,0,1,6,6,4,0,0,1,0,3,0,5,1,1,1,0,8,0,1,0,1,0,4,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,2,0,0,0,0,0,0,0,11
10615096_105.txt,5,2,0,2,0,3,0,0,5,109,3,1,17,0,3,1,0,0,0,0,0,0,0,0,0,4,6,0,8,1,0,6,3,0,0,0,3,15,4,5,0,0,0,4,6,7,0,0,3,0,7,0,11,0,1,2,3,7,0,2,0,1,1,5,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,12
